"qseqid","sscinames"
"4d3109e36add08577354734af4761da885f89d23","Argyrosomus japonicus"
"75bf5f3e496068cc6f1cca4fe1f1a2cfccdf67fe","Prionailurus planiceps"
"5dad482c4f8c82126a27aac2bb8be9c3a8ff4bde","Oncorhynchus nerka"
"8b14c93f1397b9332dad055f0a0fc595f3646681","Cottus asper"
"0a3f5fde1bbb570e4705a194d016c59a57f82481","Cottus marginatus"
"2888591f23daf76ef3ae53a7d4bd6ffe13361bb8","Ondatra zibethicus"
"1c6d757a385993942374fd4c94f562e4dda52ae5","Cottus asper"
"6f93809b6bc63b61b0d350733addd08a6ab86f2e","Ardea herodias"
"6d2015bef5f47452896ebee8aca282525a742131","Dinornis giganteus"
"3790a41fc458cb2fa0b80e27a79405121163ae49","Lynx rufus"
"6839f85e5feb0227a9953db6121f0e84161b366e","Bathyraja trachouros"
"9c53d265314cb79ca072a5a4cb53a03c99a125c6","Dinornis giganteus"
"aa5818327c00eebaf0a1d977dfaac7e0c643c622","Pheucticus melanocephalus"
"cce45cc7e4ea0594ae1859ee98f0420718bcd348","Bos taurus"
"e1f7fb69621f3a27b6001ae4f8b810904c8d33c9","Dinornis giganteus"
"df3ec2d9d2b8a387a2af461f6c1fbc7b7feb2458","Dinornis giganteus"
"905f024774cb9552a4d8e59beb7f1988a4b179d3","Oncorhynchus nerka"
"afb6e29d578074f7a4ffe420bed62b2babbaa2c1","Osphranter rufus"
"9becf343f91982b014f8358523d56ec9a84ca816","Dinornis giganteus"
"3db492f4716a04f894bceb195ec2df6c0ff627ce","Osphranter rufus"
"532b5d019a513a17bc04b6bfb52d115753882531","Cottus marginatus"
"7eb7b85cd4d1267b7272d76ac7a008e3a7172c93","Didelphis virginiana"
"0cedfc21bdbe73715c943f7f8275d466e7d43510","Didelphis virginiana"
"b7eb26b7d6175fd0cce928f0eb09e965e81ce57d","Cottus marginatus"
"e66e4274b898d1c8c4cf6c4eecbab4f1b879539f","Didelphis virginiana"
"3bc3b53cba4c0d3e566ffa796e6bf6e266f287bb","Oncorhynchus keta"
"ae77d606e4c5ac9df86c065675561e34625cfb7e","Cottus asper"
